1921-janvier-01,14.763
1921-février-01,14.649
1921-mars-01,15.085
1921-avril-01,16.376
1921-mai-01,16.926
1921-juin-01,16.774
1921-juillet-01,16.49
1921-août-01,15.769
1921-septembre-01,15.18
1921-octobre-01,14.383
1921-novembre-01,14.478
1921-décembre-01,14.364
1922-janvier-01,13.928
1922-février-01,13.283
1922-mars-01,13.7
1922-avril-01,15.465
1922-mai-01,16.243
1922-juin-01,16.49
1922-juillet-01,16.243
1922-août-01,15.787
1922-septembre-01,15.446
1922-octobre-01,14.649
1922-novembre-01,13.776
1922-décembre-01,13.188
1923-janvier-01,13.283
1923-février-01,12.657
1923-mars-01,12.979
1923-avril-01,13.909
1923-mai-01,14.535
1923-juin-01,14.877
1923-juillet-01,14.858
1923-août-01,14.288
1923-septembre-01,13.947
1923-octobre-01,13.416
1923-novembre-01,12.903
1923-décembre-01,13.454
1924-janvier-01,13.491
1924-février-01,13.567
1924-mars-01,13.397
1924-avril-01,14.44
1924-mai-01,15.161
1924-juin-01,15.427
1924-juillet-01,15.693
1924-août-01,15.142
1924-septembre-01,14.763
1924-octobre-01,14.288
1924-novembre-01,13.074
1924-décembre-01,12.543
1925-janvier-01,12.239
1925-février-01,12.011
1925-mars-01,12.827
1925-avril-01,13.567
1925-mai-01,13.548
1925-juin-01,13.302
1925-juillet-01,13.188
1925-août-01,13.112
1925-septembre-01,12.827
1925-octobre-01,12.201
1925-novembre-01,11.917
1925-décembre-01,11.803
1926-janvier-01,11.157
1926-février-01,10.892
1926-mars-01,11.12
1926-avril-01,12.6
1926-mai-01,13.283
1926-juin-01,13.416
1926-juillet-01,13.34
1926-août-01,13.529
1926-septembre-01,13.776
1926-octobre-01,14.307
1926-novembre-01,13.852
1926-décembre-01,13.833
1927-janvier-01,13.169
1927-février-01,12.941
1927-mars-01,13.188
1927-avril-01,14.383
1927-mai-01,14.763
1927-juin-01,15.218
1927-juillet-01,15.161
1927-août-01,14.858
1927-septembre-01,14.156
1927-octobre-01,13.586
1927-novembre-01,13.15
1927-décembre-01,14.137
1928-janvier-01,14.231
1928-février-01,14.364
1928-mars-01,13.833
1928-avril-01,14.478
1928-mai-01,15.009
1928-juin-01,15.617
1928-juillet-01,16.148
1928-août-01,15.977
1928-septembre-01,15.142
1928-octobre-01,14.592
1928-novembre-01,14.364
1928-décembre-01,14.497
1929-janvier-01,14.554
1929-février-01,14.991
1929-mars-01,15.863
1929-avril-01,17.932
1929-mai-01,19.184
1929-juin-01,19.184
1929-juillet-01,18.956
1929-août-01,18.254
1929-septembre-01,17.514
1929-octobre-01,16.66
1929-novembre-01,16.338
1929-décembre-01,16.319
1930-janvier-01,17.457
1930-février-01,17.173
1930-mars-01,17.856
1930-avril-01,18.596
1930-mai-01,18.558
1930-juin-01,18.159
1930-juillet-01,17.685
1930-août-01,16.812
1930-septembre-01,16.072
1930-octobre-01,15.332
1930-novembre-01,14.478
1930-décembre-01,14.213
1931-janvier-01,13.738
1931-février-01,13.169
1931-mars-01,12.581
1931-avril-01,13.245
1931-mai-01,13.852
1931-juin-01,14.175
1931-juillet-01,14.288
1931-août-01,13.985
1931-septembre-01,13.435
1931-octobre-01,12.884
1931-novembre-01,12.429
1931-décembre-01,12.41
1932-janvier-01,13.397
1932-février-01,13.909
1932-mars-01,13.833
1932-avril-01,14.099
1932-mai-01,14.687
1932-juin-01,14.611
1932-juillet-01,14.383
1932-août-01,13.909
1932-septembre-01,13.359
1932-octobre-01,12.296
1932-novembre-01,12.106
1932-décembre-01,11.803
