1980-01-01,76378
1980-02-01,71947
1980-03-01,33873
1980-04-01,96428
1980-05-01,105084
1980-06-01,95741
1980-07-01,110647
1980-08-01,100331
1980-09-01,94133
1980-10-01,103055
1980-11-01,90595
1980-12-01,101457
1981-01-01,76889
1981-02-01,81291
1981-03-01,91643
1981-04-01,96228
1981-05-01,102736
1981-06-01,100264
1981-07-01,103491
1981-08-01,97027
1981-09-01,95240
1981-10-01,91680
1981-11-01,101259
1981-12-01,109564
1982-01-01,76892
1982-02-01,85773
1982-03-01,95210
1982-04-01,93771
1982-05-01,98202
1982-06-01,97906
1982-07-01,100306
1982-08-01,94089
1982-09-01,102680
1982-10-01,77919
1982-11-01,93561
1982-12-01,117062
1983-01-01,81225
1983-02-01,88357
1983-03-01,106175
1983-04-01,91922
1983-05-01,104114
1983-06-01,109959
1983-07-01,97880
1983-08-01,105386
1983-09-01,96479
1983-10-01,97580
1983-11-01,109490
1983-12-01,110191
1984-01-01,90974
1984-02-01,98981
1984-03-01,107188
1984-04-01,94177
1984-05-01,115097
1984-06-01,113696
1984-07-01,114532
1984-08-01,120110
1984-09-01,93607
1984-10-01,110925
1984-11-01,103312
1984-12-01,120184
1985-01-01,103069
1985-02-01,103351
1985-03-01,111331
1985-04-01,106161
1985-05-01,111590
1985-06-01,99447
1985-07-01,101987
1985-08-01,85333
1985-09-01,86970
1985-10-01,100561
1985-11-01,89543
1985-12-01,89265
1986-01-01,82719
1986-02-01,79498
1986-03-01,74846
1986-04-01,73819
1986-05-01,77029
1986-06-01,78446
1986-07-01,86978
1986-08-01,75878
1986-09-01,69571
1986-10-01,75722
1986-11-01,64182
1986-12-01,77357
1987-01-01,63292
1987-02-01,59380
1987-03-01,78332
1987-04-01,72381
1987-05-01,55971
1987-06-01,69750
1987-07-01,85472
1987-08-01,70133
1987-09-01,79125
1987-10-01,85805
1987-11-01,81778
1987-12-01,86852
1988-01-01,69069
1988-02-01,79556
1988-03-01,88174
1988-04-01,66698
1988-05-01,72258
1988-06-01,73445
1988-07-01,76131
1988-08-01,86082
1988-09-01,75443
1988-10-01,73969
1988-11-01,78139
1988-12-01,78646
1989-01-01,66269
1989-02-01,73776
1989-03-01,80034
1989-04-01,70694
1989-05-01,81823
1989-06-01,75640
1989-07-01,75540
1989-08-01,82229
1989-09-01,75345
1989-10-01,77034
1989-11-01,78589
1989-12-01,79769
1990-01-01,75982
1990-02-01,78074
1990-03-01,77588
1990-04-01,84100
1990-05-01,97966
1990-06-01,89051
1990-07-01,93503
1990-08-01,84747
1990-09-01,74531
1990-10-01,91900
1990-11-01,81635
1990-12-01,89797
1991-01-01,81022
1991-02-01,78265
1991-03-01,77271
1991-04-01,85043
1991-05-01,95418
1991-06-01,79568
1991-07-01,103283
1991-08-01,95770
1991-09-01,91297
1991-10-01,101244
1991-11-01,114525
1991-12-01,101139
1992-01-01,93866
1992-02-01,95171
1992-03-01,100183
1992-04-01,103926
1992-05-01,102643
1992-06-01,108387
1992-07-01,97077
1992-08-01,90901
1992-09-01,90336
1992-10-01,88732
1992-11-01,83759
1992-12-01,99267
1993-01-01,73292
1993-02-01,78943
1993-03-01,94399
1993-04-01,92937
1993-05-01,90130
1993-06-01,91055
1993-07-01,106062
1993-08-01,103560
1993-09-01,104075
1993-10-01,101783
1993-11-01,93791
1993-12-01,102313
1994-01-01,82413
1994-02-01,83534
1994-03-01,109011
1994-04-01,96499
1994-05-01,102430
1994-06-01,103002
1994-07-01,91815
1994-08-01,99067
1994-09-01,110067
1994-10-01,101599
1994-11-01,97646
1994-12-01,104930
1995-01-01,88905
1995-02-01,89936
1995-03-01,106723
1995-04-01,84307
1995-05-01,114896
1995-06-01,106749
1995-07-01,87892
1995-08-01,100506
