4/27/2018,"2018-04-27","20180427",4/26/2018 07:31:38,"2018-04-26 09:31:38",1,1,1,"1",1
4/28/2018,"2018-04-28","20180428",4/26/2018 07:31:39,"2018-04-26 09:31:39",2,1,2,"2",2
4/29/2018,"2018-04-29","20180429",4/26/2018 07:31:40,"2018-04-26 09:31:40",3,1,1,"1",1
4/30/2018,"2018-04-30","20180430",4/26/2018 07:31:41,"2018-04-26 09:31:41",4,1,2,"2",2
5/1/2018,"2018-05-01","20180501",4/26/2018 07:31:42,"2018-04-26 09:31:42",5,1,2,"2",2
5/2/2018,"2018-05-02","20180502",4/26/2018 07:31:43,"2018-04-26 09:31:43",6,0,2,"2",2
5/3/2018,"2018-05-03","20180503",4/26/2018 07:31:44,"2018-04-26 09:31:44",7,0,2,"2",2
5/4/2018,"2018-05-04","20180504",4/26/2018 07:31:45,"2018-04-26 09:31:45",8,0,1,"1",1
5/5/2018,"2018-05-05","20180505",4/26/2018 07:31:46,"2018-04-26 09:31:46",9,0,2,"2",2
5/6/2018,"2018-05-06","20180506",4/26/2018 07:31:47,"2018-04-26 09:31:47",10,0,1,"1",1
