name,year,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter,storm_date
Amy,1975,6,27,0,27.5,-79,tropical depression,-1,25,1013,NA,NA,1975-06-27
Amy,1975,6,27,6,28.5,-79,tropical depression,-1,25,1013,NA,NA,1975-06-27
Amy,1975,6,27,12,29.5,-79,tropical depression,-1,25,1013,NA,NA,1975-06-27
Amy,1975,6,27,18,30.5,-79,tropical depression,-1,25,1013,NA,NA,1975-06-27
Amy,1975,6,28,0,31.5,-78.8,tropical depression,-1,25,1012,NA,NA,1975-06-28
Amy,1975,6,28,6,32.4,-78.7,tropical depression,-1,25,1012,NA,NA,1975-06-28
Amy,1975,6,28,12,33.3,-78,tropical depression,-1,25,1011,NA,NA,1975-06-28
Amy,1975,6,28,18,34,-77,tropical depression,-1,30,1006,NA,NA,1975-06-28
Amy,1975,6,29,0,34.4,-75.8,tropical storm,0,35,1004,NA,NA,1975-06-29
Amy,1975,6,29,6,34,-74.8,tropical storm,0,40,1002,NA,NA,1975-06-29
Amy,1975,6,29,12,33.8,-73.8,tropical storm,0,45,1000,NA,NA,1975-06-29
Amy,1975,6,29,18,33.8,-72.8,tropical storm,0,50,998,NA,NA,1975-06-29
Amy,1975,6,30,0,34.3,-71.6,tropical storm,0,50,998,NA,NA,1975-06-30
Amy,1975,6,30,6,35.6,-70.8,tropical storm,0,55,998,NA,NA,1975-06-30
Amy,1975,6,30,12,35.9,-70.5,tropical storm,0,60,987,NA,NA,1975-06-30
Amy,1975,6,30,18,36.2,-70.2,tropical storm,0,60,987,NA,NA,1975-06-30
Amy,1975,7,1,0,36.2,-69.8,tropical storm,0,60,984,NA,NA,1975-07-01
Amy,1975,7,1,6,36.2,-69.4,tropical storm,0,60,984,NA,NA,1975-07-01
Amy,1975,7,1,12,36.2,-68.3,tropical storm,0,60,984,NA,NA,1975-07-01
Amy,1975,7,1,18,36.7,-67.2,tropical storm,0,60,984,NA,NA,1975-07-01
Amy,1975,7,2,0,37.4,-66.7,tropical storm,0,60,984,NA,NA,1975-07-02
Amy,1975,7,2,6,37.3,-65.9,tropical storm,0,60,984,NA,NA,1975-07-02
Amy,1975,7,2,12,37.3,-65.1,tropical storm,0,60,981,NA,NA,1975-07-02
Amy,1975,7,2,18,37.3,-64.1,tropical storm,0,60,986,NA,NA,1975-07-02
